IV_STYLEID,IV_STYLE
03605286,PA1503 LT GY**
03605287,PA1503 FOSS**
03605288,PA1503 BLK**
03605289,JK550 D BL**
03605290,T050 RED****
03605291,T050 BEG***
03605292,J416 CHOCO***
03605293,J416 BK********
03605294,J416 H.GY*
03605295,J416 RED******
03605296,PA407 BLK****
03605297,PA407 LT GY**
03605298,PA407 B PIK**
03605299,T050 I GY*****
03605300,JK224 D.NAVY*
03605301,JK224 BGE***
03605302,JK220 D NAVY***
03605303,JK220 BEG****
03605304,T1012 R.BLUE*
03605305,T1012 I.GY*
03605306,T050 D NAY***
03605307,JK481 BEG***
03605308,JK481 BLK***
03605309,JK481 I GY***
03605310,JK344 B PIK*
01104331,RT18101R
01104332,XST71063***
01104333,RT52191*
01104334,ST61577***
01104335,HM18109**
01104336,HT12103R
01104337,RT78436*
01104338,RT32675R
01104339,RT67678****
01104340,RT63221R
01104341,HT28083
01104342,ST71533
01104343,XT52588*****
01104344,XT50822***
01104345,ST81259
01104346,RT70268***
01104347,RT73053***
01104348,XSP61234*****
01104349,XHT13662R
01104350,HT12420
01104351,HT13662R
01104352,XSP61269******
01104353,RD78872*
01104354,ST81133**
01104355,RT1010*
01104356,RT1200*
01104357,HT28115R
01104358,HT12105
01104359,RT50822***
01104360,SP71360****
01104361,RP73860**
01104362,XP78759**
01104363,XST61923*
01104364,XST61576*
01104365,HT28116R
01104366,RD68827***
01104367,RT82675LR
01104368,RT73853
01104369,RT63927****
01104370,RP73861
01104371,HT18857
01104372,HT11642R
01104373,HT11738R
01104374,HT12252
01104375,RT52588******
01104376,HT12158
01104377,RD81151*
01104378,XT78304L***
01104379,RT62632
01104380,RT93575R
01104381,RT52833**
01104382,ST81158**
01104383,HT11719R
03604383,JK390 C GRN
03604384,PA407 D NAVY
03604385,PA407 BGE
03604386,JK550 FOSL
03604387,J415 H.GRY*****
03604388,J415B BLK
03604389,T275 I.GRY
03604390,T275 IR.GY
03604391,T275 C.GREEN
03604392,T275 BEG
03604393,JK326 BEG
03604394,JK390 BEG
03604395,PA770 C GREEN
03604396,PA770 MAR
03604397,JK220 CHAR
03604398,JK255 CRM
03604399,JK550 RED
03604400,JK126 BEG
03604401,JK255 BEG
03604402,JK729 BLK*
03604403,JK729 IC GY*
03604404,JK729 CREAM*
03604405,JK220 C GRN*
03604406,JK220 I GRY*
03604407,JK220 BEG*
03604408,JK220 BLK*
03604409,T015B D NVY*
03604410,T868B BLK**
03604411,PA407 BLK*
03604412,PA407 BGE*
03604413,PA407 CHAR*
03604414,PA407 I GY
03604415,PA407 LT GY
03604416,PA550 BLK
03604417,PA550 LT GY
03604418,PA550 IC GRY*
03604419,PA903S CHAR*
03604420,PA903S LT GY*
03604421,PA044S BEIGE*
03604422,PA044S BLK*
03604423,PA044S ICE.GY*
03604424,PA044S LT.GY*
03604425,PA250 BEG**
03604426,JK550 BLK
03604427,JK550 BEG**
03604428,JK550 RED*****
03604429,T866 BLK****
03604430,JK354 BLK*
03604431,JK354 BGE*
03604432,JK354 I GY*
03604433,JK224 BGE*
03604434,T869 BLUE*
04500194,IT4059 PLUS
04500195,IT4039
04500196,IT4048 PLUS
04500197,IT4053 PLUS
04500198,IT4058 PLUS
04500199,IT4041 PLUS
04500200,IT4028-1 PLUS
04500201,IT4001-1
04500202,IT4043
04500203,IT4054 PLUS
04500204,IT4084 PLUS
04500205,IT4005
04500206,IT4049 PLUS
04500207,IT4055 PLUS
04500208,IT4079 PLUS
04500209,IT4097 PLUS
04500210,ITJS4077 PLUS
04500211,IT4050 PLUS
04500212,IT4062 PL
04500213,IT4094 PL
04500214,IT4119 PL
04500215,ITD4087 PL
04500216,ITJS4096 PL
04500217,IT4100 PLUS
04500218,ITD4081 PLUS
04500219,IT4075 PLUS
04500220,IT4091 PLUS
04500221,ITD4092 PLUS
04500222,IT4117
04500223,ITJS4129
04500224,ITJS4135
04500225,TD10025 PLUS
04500226,IT4113 PL
04500227,IT4114 PL
04500228,IT4132 PL
04500229,ITD4134
04500230,IT4112 PLUS
04500231,IT4158 PLUS
04500232,ITD4108 PLUS
04500233,T10028 PLUS
04500234,IT4110 PLUS
04500235,IT4148 PLUS
04500236,IT4149 PLUS
04500237,TJ3838*
04500238,ITJ4109
04500239,TD10026 PL
04500240,TD10030 PL
04500241,ITD4088 PL
04500242,TD10027 PL
04500243,IT4133 PL
04500244,IT4144 PL
03603532,J416 BE.PINK
03603533,PA550 D.OLIVE
03603534,JK227 BLK*
03603535,T866B
03603536,T529
03603537,JK227 LT.GREY
03603538,PA030B
03603539,PA030B BLK
03603540,PA030B CHA
03603541,PA030B CHO
03603542,JK227 PINK*
03603543,JK227 CHOCO*
03603544,JK227 CREAM
03603545,JK227 WHT
03603546,PA044 BLK
03603547,PA044 LT GRY
03603548,PA044 KHA
03603549,JK858
03603550,T868 BLK
03603551,T868 CREAM
03603552,T868 LT.GREY
03603553,T868 PINK
03603554,JK866 ASST*
03603555,T866 BLK*
03603556,T866 LT GY*
03603557,T866 CREAM*
03603558,T866 PINK*
03603559,T866 NAVY*
03603560,T866 BURG
03603561,T866 H GRN
03603562,JK858 BLK
03603563,T868 CREAM*
03603564,T868 LT.GREY*
03603565,JU529
03603566,T866 WHT*
03603567,JK250 BLK
03603568,JK250 BURG
03603569,JK250 LT GY**
03603570,JK250 PINK*
03603571,JK250 CHOCO**
03603572,JK250 H GRN*
03603573,JK227 BLK**
03603574,JK227 BURG
03603575,JK227 LT.GY*
03603576,JK227 PINK**
03603577,JK227 CHOCO**
03603578,JK227 H GRN*
03603579,JK250 CREAM
03603580,PA250 RED
03603581,PA030 D.NAVY
03603582,JK998 IVO
03603583,JK915 BEG
05501104,930434VT035
05501105,930749MW211
05501106,930677SD019
05501107,910946MI133
05501108,910946MC006
05501109,93869SD030
05501110,910676DK366*
05501111,D30305CK434
05501112,H30300CB005
05501113,H30230FU035
05501114,930677SD010
05501115,92836PU050
05501116,930837FU036
05501117,930434SD021
05501118,930583SD023
05501119,930774FU029
05501120,930774FU036
05501121,930570SD023
05501122,92827MI052
05501123,930434SD024
05501124,92827MI052*
05501125,X930132DK418*
05501126,910851C3DK366
05501127,930133CH872*
05501128,D30365CK449
05501129,930663CK442
05501130,99750CH860**
05501131,99750CH886*
05501132,99794CH798
05501133,H70338CH905*
05501134,910283DK366**
05501135,91950DK366**
05501136,930434DK366
05501137,930132DK418T
05501138,930767DK366
05501139,910946MI132
05501140,930135DK366
05501141,X930434DK366
05501142,X930135DK366**
05501143,910297DK366**
05501144,94810TW156
05501145,930691CH798
05501146,930612C3DK366
05501147,910951DK366
05501148,D51225CH916
05501149,911030PJ551
05501150,99839CH798
05501151,XLP91963MI025
05501152,XLP91721MI024
05501153,XLP90134MI *
04501134,IT4407***
04501135,ITJ5060*
04501136,ITD5478
04501137,ITD5047*
04501138,IT5443
04501139,IT4005
04501140,IT5434*
04501141,IT5376*
04501142,ITJS4534****
04501143,IT4333****
04501144,ITJS4565****
04501145,ITJS4253****
04501146,ITJS5297*
04501147,ITJS5344*
04501148,IT5006
04501149,ITD5045*
04501150,IT4739*
04501151,IT5433*
04501152,ITJ4255 ***
04501153,ITJS4565*****
04501154,IT5436
04501155,IT5431
04501156,IT5186*
04501157,IT5453
04501158,IT5511
04501159,IT5517
04501160,IT5534
04501161,IT5432*
04501162,ITJ4963**
04501163,ITP5408*
04501164,IB6689
04501165,IT4016
04501166,ITJ10053**
04501167,ITD5312*
04501168,IT5332*
04501169,IT5240*
04501170,IT5470
04501171,IT5468
04501172,IT4043*****
04501173,ITD5444
04501174,IT5224
04501175,ITJ5062*
04501176,ITJ5267*
04501177,IT5424*
04501178,ITJ4752**
04501179,IT4050 ****
04501180,IT5590
04501181,IT5589
04501182,ITJ4819**
04501183,ITJS5592
04501184,IT5471
07113748,90249 MED**
07113749,90243 BLK**
07113750,90243 WHT**
07113751,90243 LGT****
07113752,90243 MED***
07113753,90400 WHT****
07113754,90239 MED**
07113755,90243 DRK*
07113756,90305 BLK*
07113757,90174XL DRK***
07113758,90174XL LGT***
07113759,90240XL LGT**
07113760,90249XL MED*
07113761,90258XL LGT*
07113762,90258XL DRK*
07113763,90261XL BLK*
07113764,90261XL MED*
07113765,90261XL DRK*
07113766,90261 LGT*
07113767,90261 MED*
07113768,90262 BLK**
07113769,90174 BLK****
07113770,90285 LGT*
07113771,90168 BLK
07113772,90286 MED**
07113773,90286 DRK**
07113774,90302 MED
07113775,90800 MED
07113776,90302 DRK
07113777,90299 MED
07113778,90299 DRK
07113779,90304 BLK
07113780,90123 LGT**
07113781,90123 MED***
07113782,90800 BLK****
07113783,90800 DRK***
07113784,90214 MED**
07113785,90262 LGT*
07113786,90239XL BLK**
07113787,90239XL MED**
07113788,90239 LGT**
07113789,90258 LGT**
07113790,90285 MED*
07113791,90305 LGT*
07113792,90172 WHT***
07113793,90174XL WHT**
07113794,90205 BLK***
07113795,90205 WHT***
07113796,90217 LGT***
04703186,MN2404*
04703187,MN1075A**
04703188,WJ8213***
04703189,WN10600*
04703190,MN3107 BLK**
04703191,MN3107 BLUE**
04703192,MN3107 PINK**
04703193,MN3107 WHT**
04703194,WN10175S*
04703195,WN10251*
04703196,WN10650
04703197,WP8697
04703198,MD1339*
04703199,MN3410
04703200,WP8326**
04703201,WN11302 BLK*
04703202,WN11302 IVO*
04703203,WN11302 BLUE*
04703204,MN1032A
04703205,TP1098SL*
04703206,WN11302 BLK**
04703207,WN11302 IVO**
04703208,MN3107 CHAM
04703209,MN3107 IVO
04703210,MN3107 SAGE
04703211,MN3107 PK LT
04703212,MN2748*
04703213,WN8609M**
04703214,WN8681A
04703215,WN8681
04703216,WN9768B
04703217,MN3772
04703218,WN10146*
04703219,WN10685 BK*
04703220,WN10685 IVO*
04703221,WN10685 RED
04703222,WN10685 B BL
04703223,MN3005 BK*
04703224,MN3005 O WH
04703225,MN3005 PINK
04703226,MN3005 YELL
04703227,WJ8040 TAP/BK*
04703228,MN4365
04703229,WN10664M2
04703230,MN4365X
04703231,MN3005X
04703232,WJ8040X TA/BK*
04703233,MN2748**
04703234,WJ8322 BLK*
04703235,WJ8322 WHT*
04703236,WJ8322 CHOCO
04703237,WJ8322 H GY*
04703238,WN11577A
04702311,WJ8040
04702312,WN8467AX
04702313,WN8766M61
04702314,WN8555M62
04702315,TD1221A
04702316,WN8766M61X
04702317,WN8555M62X
04702318,WN8566
04702319,WN8567
04702320,TP1192
04702321,WD8255
04702322,WN9027A
04702323,TT1503
04702324,WN8566X
04702325,WN8567X
04702326,TT1503X
04702327,WP8083
04702328,WD8185C
04702329,WD8154G
04702330,WP8124A
04702331,WP8124G
04702332,WP8121B
04702333,WN8474*
04702334,TT1485A
04702335,WD8185CX
04702336,WD8154GX
04702337,WP8124AX
04702338,WP8124GX
04702339,WP8121BX
04702340,WN8474X
04702341,WN8311A
04702342,WN8886
04702343,TD1224
04702344,WN8311XA
04702345,WN9055
04702346,TT1195
04702347,TT1195X
04702348,TS1010
04702349,CLJ0050P
04702350,CLJ0050PX
04702351,TS1010X
04702352,TD1224M65
04702353,TD1222
04702354,TS1017
04702355,TT1558
04702356,WN8791
04702357,TT1460
04702358,TS1002
04702359,TD1224M65X
04702360,WN8791X
04702361,TT1460X
04702362,TS1002X
04702363,WD8260Q
07112858,90232XL MED
07112859,90232XL DRK
07112860,90232XL BLK
07112861,90092XL MED
07112862,90201XL MED
07112863,90221XL BLK
07112864,90221XL MED
07112865,90078XL DRK*
07112866,90144XL DRK*
07112867,90144XL BLK*
07112868,90144XL MED
07112869,90230XL LGT
07112870,90017XL WHT**
07112871,90126XL MED**
07112872,90152XL DRK*
07112873,90152XL WHT
07112874,90017 WHT**
07112875,90144 MED**
07112876,90800XL DRK*
07112877,90207 WHT*
07112878,90078 BLK**
07112879,90231 LGT
07112880,90078 MED**
07112881,90231 MED
07112882,90207 BLK*
07112883,90144 BLK**
07112884,90207XL BLK
07112885,90205 WHT
07112886,90600XL BLK **
07112887,90017XL DARK**
07112888,90202 LIGHT
07112889,90172XL BLK**
07112890,90205 DRK
07112891,90134XL DARK
07112892,90168 BLK
07112893,90172XL WHT**
07112894,90214XL MED
07112895,90241 LGT
07112896,90070XL BLACK**
07112897,90171XL DARK*
07112898,90205 LIGHT*
07112899,90190XL LIGHT*
07112900,90400 BLK**
07112901,90501XL LGT
07112902,90078XL BLK**
07112903,90134XL LGT
07112904,90188XL BLK*
07112905,90500XL MED**
07112906,90187 BLK*
06002075,DBS0411
06002076,DBS0344
06002077,IT91846
06002078,BT02480U1630
06002079,IP8009U1640
06002080,ID5049
06002081,IT91769
06002082,ST2059
06002083,HMD13223
06002084,ISP3232
06002085,HMT55517
06002086,HMST0389
06002087,HMS40347APL
06002088,ST2090
06002089,IJ99237
06002090,HMT55690
06002091,HMT55256
06002092,SSET7143
06002093,BJ07041A
06002094,HMJ20332A
06002095,HMJ20590
06002096,HMS40347A
06002097,IJ99192*
06002098,SD3169
06002099,BSET03087
06002100,BSET03134
06002101,IJ99197
06002102,IT91903
06002103,HMT55752
06002104,IP7947
06002105,ID4976
06002106,ID5087
06002107,ID5107U1685
06002108,ID4977*
06002109,IT91319
06002110,IT90531*
06002111,BP05544*
06002112,BP05543D
06002113,ID4525ACPL
06002114,IT91242*
06002115,ID4351*
06002116,IJ99121*
06002117,IT91873
06002118,ID4093L
06002119,IT92000
06002120,IP7996
06002121,ID5048
06002122,ID4991*
06002123,ID4804U1578
06002124,ID4804U1580
06002125,IP7944B
06002126,IT91571
06704180,80080JY BRW
06704181,7335SM BLK*
06704182,7335SM SAGE*
06704183,7335SM PINK*
06704184,10368TN*
06704185,10474TN
06704186,4965DN
06704187,60116PL
06704188,6943PN TRUF*
06704189,6943PN WHT
06704190,6943PN ECLIP
06704191,6943PN BLK*
06704192,90148WH****
06704193,4893DN**
06704194,90161WJ BK***
06704195,90161WJ IVO***
06704196,90164WJ CAM**
06704197,7289SH MOSS*
06704198,4840DD***
06704199,80420JN BLK
06704200,80420JN WHT
06704201,90374DN
06704202,90378DN
06704203,90382DN
06704204,10250TH*
06704205,10425TN
06704206,10465TN
06704207,3689RY***
06704208,7346SN*
06704209,60103PL
06704210,80415JN
06704211,3717RN MOC*
06704212,10328TM-Q
06704213,10439TL
06704214,2354TY*****
06704215,4952DN
06704216,5216VL
06704217,5221VN
06704218,60165PN
06704219,10337TN-Q
06704220,10402TN
06704221,60024PN-Q
06704222,90333CN IVO*
06704223,90333CN MOCHA*
06704224,60055PN*
06704225,4929DN*
06704226,3795RL
06704227,7289SH KHA*
06704228,90161WJ CHO
06704229,10463TN
06704230,10479TN
06704231,5230VL
06704232,10357TN P.BLUE
06704233,10357TN MOC*
07606242,ZA4082A
07606243,ZB11990S
07606244,ZB12186
07606245,ZB10654F7
07606246,ZB11482F4
07606247,ZB12249
07606248,ZB10732F2*
07606249,ZBD12199F1
07606250,ZB9440F34
07606251,ZB12036
07606252,ZA4159C
07606253,ZB12193F1
07606254,ZB11839F1
07606255,ZA4279B
07606256,ZB11830F2
07606257,ZB10407F11
07606258,ZB10728F1
07606259,ZB12196F10
07606260,ZB10654F9
07606261,ZA3890A*
07606262,ZA4733
07606263,ZA4298J
07606264,ZB10719*
07606265,ZA4719
07606266,ZA4725
07606267,ZA4138F
07606268,ZB10919
07606269,ZB11340F3
07606270,ZB10096S
07606271,ZB12185
07606272,ZA3870*
07606273,ZB9996F1**
07606274,ZB7981F3
07606275,ZB5486F51
07606276,ZB10666***
07606277,ZB9440F40
07606278,ZB12209F1
07606279,ZB10095F14
07606280,ZB7981F9
07606281,ZA4159D
07606282,ZA4030G
07606283,ZA3890S
07606284,ZA4053E
07606285,ZA4254
07606286,ZB10034F9 MAV
07606287,ZB9440F33
07606288,ZB10034F8
07606289,ZB12278
07606290,ZB11830F4
07606291,ZA4277
07606292,ZA4815
07606293,Z9175P8
07115551,90412XL DRK
07115552,90420 MED*
07115553,90420 LGT*
07115554,90420 DRK*
07115555,90418 BLK
07115556,90232 DRK*****
07115557,90314 LGT***
07115558,90232 MED*
07115559,90232 LGT*****
07115560,90232 WHT*****
07115561,90319 DK***
07115562,90319 BLK***
07115563,90396 WHT*
07115564,90389 LGT
07115565,90367 LGT**
07115566,90367 MED**
07115567,90319 MED***
07115568,90232 BLK*
07115569,90501 WHT***
07115570,90343 MED**
07115571,90400 WHT******
07115572,90900 LGT***
07115573,90344 MED**
07115574,90348 WHT***
07115575,90348 BLK***
07115576,90348 KHA***
